Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
lou.tne,https://www.instagram.com/lou.tne?igsh=MXZreDJxOHdhMmNobg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
cassye_ml,https://www.instagram.com/cassye_ml?igsh=MXB3ZGRqa3R2NTJqYQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
mathilde.msx,https://www.instagram.com/mathilde.msx?igsh=MTFmd2JpdHVzZmpnbw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
vanessa.dbcq,https://www.instagram.com/vanessa.dbcq?igsh=MWdmbGM5YmNxNml6aQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
adele_.tgnt,https://www.instagram.com/adele_.tgnt?igsh=MTF3N20zMTF4eDJ6dg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
_charlotte_cnt,https://www.instagram.com/_charlotte_cnt?igsh=MTI2b3U3aXVlbzBrOQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
julia.mlhn,https://www.instagram.com/julia.mlhn?igsh=MWt6Y25nYndna2FpdQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
l1bn7,https://www.instagram.com/l1bn7?igsh=djM2YnpveW50Y3Zi,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
tiahrnvl,https://www.instagram.com/tiahrnvl?igsh=MTR6MWp6dnluaXV4ZQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
angele_zmr,https://www.instagram.com/angele_zmr?igsh=bTZvbTZsY2RxbGhl,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
maloe_.v,https://www.instagram.com/maloe_.v?igsh=Z292d2FqbW0zZHE2,small creator ,Sent,Script 2,alexxisalmc,,,,,
_eva_cls,https://www.instagram.com/_eva_cls?igsh=c3RtdXljcTk2Zm1x,small creator ,Sent,Script 2,alexxisalmc,,,,,
giulia_pr9,https://www.instagram.com/giulia_pr9?igsh=MWpiNHIzaXF3c3Zwaw==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
clemence_cdrl,https://www.instagram.com/clemence_cdrl?igsh=MWtqMG4xYnIzOGQyYg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
valentine_lucas_,https://www.instagram.com/valentine_lucas_?igsh=c3oxaGFiNHJzbWVh,small creator ,Sent,Script 2,alexxisalmc,,,,,
steyfiona,https://www.instagram.com/steyfiona?igsh=MXFzZGdhbmoycDJxZw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
marine_langer,https://www.instagram.com/marine_langer?igsh=NWx0OGw3NHd5cHE=,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
joad.e,https://www.instagram.com/joad.e?igsh=MXdybTNkaHF3MmlpbA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
picturefromlu,https://www.instagram.com/picturefromlu?igsh=MXduazYwdTM3dWc0dA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
alnbx5,https://www.instagram.com/alnbx5?igsh=Y2NwcWhnbWhqcXRt,small creator ,Sent,Script 2,alexxisalmc,,,,,
maillefaudjade,https://www.instagram.com/maillefaudjade?igsh=MWZyNnhreWI3bjNobg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
jeanne.cst_,https://www.instagram.com/jeanne.cst_?igsh=MWk5YXJlaHpkdnl1cg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
lana.cb2,https://www.instagram.com/lana.cb2?igsh=MjE5d3BzbzJqdzF5,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
em_r777,https://www.instagram.com/em_r777?igsh=eGV0OXQ2aGhxNXht,small creator ,Sent,Script 2,alexxisalmc,,,,,
selma.ddlr,https://www.instagram.com/selma.ddlr?igsh=a2JnNXczY3hia3A=,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
aaxelledlp,https://www.instagram.com/aaxelledlp?igsh=MTEwZ2VvejN0a3plcg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
savananassss,https://www.instagram.com/savananassss?igsh=MWF4eThzcXhyc3E0Zw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
elenaa_675,https://www.instagram.com/elenaa_675?igsh=N2N4NTR4djZ3ZTBi,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
solene.trp,https://www.instagram.com/solene.trp?igsh=MXd3bWt5dnk1ZWlkcA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
alex.wrnrt,https://www.instagram.com/alex.wrnrt?igsh=MWIxaDd1NGVqZzVn,small creator ,Talking - warm,Script 2,alexxisalmc,,,,,
meissa_dv,https://www.instagram.com/meissa_dv?igsh=MTJ2b2Rwd28zOWhyYQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
